iter	Passed	Remaining
0	138	138313
1	139	69624
2	141	46875
3	142	35511
4	144	28671
5	145	24081
6	146	20811
7	148	18383
8	149	16428
9	150	14910
10	152	13675
11	153	12603
12	154	11713
13	155	10967
14	157	10322
15	158	9755
16	160	9252
17	161	8796
18	162	8395
19	163	8023
20	165	7716
21	166	7422
22	168	7147
23	169	6906
24	171	6687
25	173	6486
26	174	6299
27	176	6122
28	178	5963
29	179	5807
30	181	5658
31	182	5529
32	183	5385
33	184	5254
34	186	5128
35	187	5018
36	188	4909
37	190	4812
38	191	4711
39	192	4612
40	193	4529
41	194	4439
42	195	4356
43	197	4288
44	199	4223
45	200	4157
46	201	4094
47	202	4025
48	203	3958
49	205	3901
50	206	3848
51	208	3800
52	210	3752
53	211	3703
54	212	3655
55	214	3611
56	215	3570
57	217	3526
58	218	3482
59	219	3445
60	221	3406
61	222	3368
62	223	3330
63	225	3293
64	226	3261
65	228	3231
66	229	3194
67	230	3162
68	232	3132
69	233	3100
70	234	3072
71	235	3040
72	236	3009
73	238	2978
74	239	2951
75	240	2926
76	242	2903
77	243	2877
78	244	2854
79	245	2826
80	246	2801
81	248	2780
82	249	2759
83	250	2736
84	252	2716
85	253	2694
86	254	2674
87	255	2652
88	257	2633
89	258	2611
90	259	2589
91	260	2571
92	261	2551
93	262	2533
94	264	2518
95	265	2498
96	266	2483
97	268	2469
98	269	2454
99	271	2439
100	272	2426
101	273	2409
102	275	2396
103	276	2381
104	277	2366
105	279	2353
106	280	2341
107	281	2328
108	283	2315
109	284	2303
110	286	2292
111	287	2280
112	288	2267
113	290	2255
114	291	2244
115	293	2233
116	294	2223
117	295	2211
118	297	2200
119	298	2189
120	299	2177
121	301	2167
122	302	2156
123	303	2146
124	305	2136
125	306	2127
126	308	2117
127	309	2109
128	311	2100
129	312	2089
130	313	2080
131	315	2072
132	316	2065
133	318	2056
134	319	2048
135	320	2037
136	322	2028
137	323	2020
138	324	2011
139	326	2004
140	327	1995
141	329	1988
142	330	1980
143	331	1973
144	333	1965
145	334	1958
146	336	1951
147	337	1942
148	338	1935
149	339	1925
150	341	1918
151	342	1912
152	344	1905
153	345	1899
154	347	1893
155	348	1885
156	349	1877
157	351	1870
158	352	1864
159	353	1857
160	355	1851
161	356	1843
162	357	1835
163	359	1830
164	360	1822
165	361	1816
166	363	1811
167	364	1805
168	366	1800
169	367	1793
170	368	1786
171	369	1780
172	371	1775
173	372	1768
174	373	1762
175	375	1758
176	376	1752
177	378	1746
178	380	1743
179	381	1737
180	382	1732
181	384	1727
182	385	1722
183	387	1716
184	388	1712
185	390	1708
186	391	1702
187	393	1697
188	394	1692
189	395	1686
190	397	1681
191	398	1676
192	399	1671
193	401	1666
194	402	1661
195	403	1655
196	405	1652
197	407	1649
198	409	1646
199	410	1643
200	412	1639
201	413	1634
202	415	1629
203	416	1626
204	418	1621
205	419	1618
206	421	1613
207	422	1609
208	424	1606
209	425	1602
210	427	1597
211	428	1593
212	430	1589
213	431	1585
214	433	1581
215	434	1577
216	435	1572
217	436	1567
218	438	1563
219	440	1560
220	441	1555
221	442	1550
222	444	1547
223	445	1543
224	447	1540
225	448	1536
226	449	1531
227	451	1527
228	452	1523
229	453	1518
230	454	1514
231	456	1510
232	457	1505
233	458	1502
234	460	1498
235	461	1494
236	462	1490
237	464	1487
238	466	1483
239	467	1480
240	468	1475
241	469	1471
242	471	1468
243	472	1464
244	473	1460
245	475	1456
246	476	1451
247	477	1448
248	479	1446
249	480	1442
250	482	1439
251	483	1435
252	485	1432
253	486	1428
254	487	1424
255	489	1421
256	490	1418
257	491	1414
258	493	1411
259	494	1408
260	495	1404
261	497	1400
262	498	1397
263	500	1394
264	501	1390
265	502	1386
266	503	1383
267	505	1380
268	506	1377
269	508	1373
270	509	1370
271	510	1367
272	512	1363
273	513	1361
274	515	1357
275	516	1353
276	517	1349
277	518	1345
278	519	1342
279	520	1338
280	521	1335
281	522	1331
282	524	1328
283	525	1325
284	527	1322
285	528	1319
286	530	1316
287	531	1313
288	532	1310
289	534	1307
290	535	1304
291	536	1301
292	538	1298
293	539	1294
294	540	1291
295	541	1288
296	543	1285
297	544	1282
298	545	1279
299	547	1276
300	548	1273
301	549	1271
302	551	1267
303	552	1265
304	554	1262
305	555	1260
306	557	1258
307	558	1254
308	560	1252
309	561	1250
310	563	1247
311	564	1244
312	565	1242
313	567	1239
314	568	1237
315	570	1234
316	571	1232
317	573	1229
318	574	1227
319	575	1223
320	577	1221
321	578	1217
322	579	1215
323	581	1213
324	582	1210
325	584	1208
326	586	1206
327	587	1204
328	589	1202
329	591	1200
330	592	1197
331	594	1195
332	595	1192
333	597	1190
334	598	1188
335	599	1185
336	601	1183
337	602	1180
338	604	1178
339	605	1175
340	607	1173
341	608	1170
342	610	1168
343	611	1166
344	613	1164
345	614	1162
346	616	1159
347	617	1157
348	618	1154
349	620	1152
350	622	1150
351	623	1148
352	625	1145
353	626	1143
354	628	1141
355	629	1139
356	631	1136
357	632	1134
358	634	1132
359	635	1129
360	636	1127
361	638	1125
362	639	1122
363	641	1120
364	642	1117
365	643	1115
366	644	1112
367	646	1110
368	647	1107
369	649	1105
370	650	1103
371	652	1101
372	653	1099
373	655	1097
374	656	1094
375	658	1092
376	659	1089
377	660	1087
378	662	1084
379	663	1082
380	664	1079
381	666	1077
382	667	1075
383	669	1073
384	670	1071
385	672	1069
386	673	1067
387	675	1064
388	676	1062
389	677	1060
390	679	1058
391	680	1056
392	682	1053
393	683	1051
394	685	1049
395	686	1047
396	687	1044
397	689	1042
398	690	1040
399	691	1037
400	693	1035
401	694	1033
402	696	1031
403	697	1029
404	699	1027
405	700	1025
406	702	1023
407	703	1021
408	705	1018
409	706	1016
410	708	1014
411	709	1012
412	710	1010
413	712	1008
414	713	1006
415	715	1004
416	716	1002
417	718	999
418	719	997
419	721	995
420	722	993
421	723	991
422	725	989
423	726	987
424	728	985
425	729	982
426	730	980
427	732	978
428	733	976
429	735	974
430	736	972
431	737	970
432	739	968
433	740	965
434	742	963
435	743	961
436	744	959
437	746	957
438	747	955
439	749	953
440	750	951
441	752	949
442	754	948
443	755	946
444	757	944
445	758	942
446	760	940
447	762	939
448	764	937
449	765	935
450	767	934
451	769	932
452	770	930
453	772	928
454	773	926
455	775	924
456	776	923
457	778	921
458	780	919
459	781	917
460	783	916
461	785	914
462	786	912
463	788	910
464	790	909
465	791	907
466	793	905
467	795	903
468	796	901
469	798	900
470	799	898
471	801	896
472	803	894
473	804	893
474	806	891
475	808	889
476	809	887
477	811	886
478	813	884
479	814	882
480	816	881
481	818	879
482	820	877
483	821	876
484	823	874
485	825	872
486	827	871
487	828	869
488	830	867
489	832	866
490	833	864
491	835	862
492	837	860
493	838	859
494	840	857
495	842	855
496	843	854
497	845	852
498	846	850
499	848	848
500	850	846
501	851	844
502	853	842
503	854	840
504	855	838
505	857	837
506	858	835
507	860	833
508	861	831
509	863	829
510	864	827
511	866	825
512	867	823
513	869	821
514	870	819
515	871	817
516	873	815
517	874	814
518	876	812
519	877	810
520	879	808
521	880	806
522	881	804
523	883	802
524	884	800
525	886	798
526	887	796
527	889	794
528	890	793
529	892	791
530	894	789
531	895	788
532	897	786
533	899	784
534	900	782
535	902	781
536	903	779
537	905	777
538	907	775
539	908	774
540	910	772
541	911	770
542	913	768
543	914	766
544	916	764
545	917	763
546	919	761
547	920	759
548	922	757
549	923	755
550	924	753
551	926	751
552	927	749
553	929	748
554	930	746
555	932	744
556	933	742
557	935	740
558	936	738
559	937	736
560	939	735
561	940	733
562	942	731
563	943	729
564	945	727
565	946	726
566	948	724
567	949	722
568	951	720
569	953	719
570	955	717
571	957	716
572	958	714
573	960	712
574	961	711
575	963	709
576	965	707
577	966	705
578	968	704
579	970	702
580	971	700
581	973	699
582	974	697
583	976	695
584	977	693
585	979	691
586	980	690
587	982	688
588	984	686
589	985	684
590	987	683
591	988	681
592	990	679
593	991	677
594	993	676
595	994	674
596	996	672
597	998	670
598	999	669
599	1001	667
600	1002	665
601	1004	664
602	1006	662
603	1008	660
604	1009	659
605	1011	657
606	1013	655
607	1014	654
608	1016	652
609	1018	650
610	1019	649
611	1021	647
612	1022	645
613	1024	643
614	1025	642
615	1027	640
616	1029	638
617	1030	637
618	1032	635
619	1034	633
620	1036	632
621	1037	630
622	1039	628
623	1040	627
624	1042	625
625	1043	623
626	1045	621
627	1046	619
628	1048	618
629	1049	616
630	1051	614
631	1052	613
632	1054	611
633	1055	609
634	1057	607
635	1058	605
636	1059	603
637	1061	602
638	1062	600
639	1064	598
640	1065	596
641	1067	595
642	1068	593
643	1070	591
644	1071	589
645	1073	588
646	1074	586
647	1076	584
648	1077	582
649	1079	581
650	1080	579
651	1081	577
652	1083	575
653	1084	573
654	1086	572
655	1087	570
656	1089	568
657	1090	566
658	1092	565
659	1093	563
660	1095	561
661	1096	559
662	1098	558
663	1099	556
664	1100	554
665	1102	552
666	1103	551
667	1105	549
668	1106	547
669	1108	545
670	1109	544
671	1111	542
672	1112	540
673	1114	538
674	1115	537
675	1117	535
676	1118	533
677	1119	531
678	1121	530
679	1122	528
680	1124	526
681	1125	524
682	1127	523
683	1128	521
684	1129	519
685	1131	517
686	1132	516
687	1134	514
688	1135	512
689	1137	511
690	1139	509
691	1140	507
692	1142	505
693	1143	504
694	1145	502
695	1146	500
696	1148	499
697	1149	497
698	1151	495
699	1152	494
700	1154	492
701	1156	490
702	1157	489
703	1159	487
704	1160	485
705	1162	484
706	1164	482
707	1165	480
708	1167	479
709	1169	477
710	1170	475
711	1172	474
712	1173	472
713	1175	470
714	1177	469
715	1178	467
716	1180	465
717	1181	464
718	1183	462
719	1184	460
720	1186	459
721	1187	457
722	1189	455
723	1191	454
724	1193	452
725	1194	450
726	1196	449
727	1197	447
728	1199	445
729	1200	444
730	1202	442
731	1204	440
732	1205	439
733	1207	437
734	1208	435
735	1210	434
736	1211	432
737	1213	430
738	1214	428
739	1216	427
740	1217	425
741	1219	423
742	1220	422
743	1222	420
744	1224	419
745	1225	417
746	1227	415
747	1228	414
748	1230	412
749	1232	410
750	1233	409
751	1235	407
752	1236	405
753	1238	404
754	1239	402
755	1241	400
756	1242	398
757	1244	397
758	1245	395
759	1246	393
760	1248	392
761	1249	390
762	1251	388
763	1252	386
764	1253	385
765	1255	383
766	1256	381
767	1258	380
768	1259	378
769	1261	376
770	1262	375
771	1264	373
772	1265	371
773	1267	370
774	1268	368
775	1270	366
776	1271	364
777	1273	363
778	1274	361
779	1275	359
780	1277	358
781	1278	356
782	1280	354
783	1281	353
784	1283	351
785	1284	349
786	1285	348
787	1287	346
788	1288	344
789	1290	342
790	1291	341
791	1293	339
792	1294	337
793	1295	336
794	1297	334
795	1298	332
796	1300	331
797	1301	329
798	1303	327
799	1304	326
800	1306	324
801	1307	322
802	1308	321
803	1310	319
804	1311	317
805	1313	316
806	1314	314
807	1315	312
808	1317	311
809	1318	309
810	1320	307
811	1321	306
812	1323	304
813	1324	302
814	1326	301
815	1327	299
816	1329	297
